code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass
AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail
AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass
AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass
AAA,2013J,376439,M,North Region,HE Qualification,,0-35,0,60,N,Distinction
AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2013J,388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
AAA,2013J,388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn
AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
AAA,2013J,392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
AAA,2013J,393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
AAA,2013J,396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass
AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail
AAA,2013J,401869,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
AAA,2013J,402470,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
AAA,2013J,404804,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass
AAA,2013J,405088,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
AAA,2013J,405961,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn
AAA,2013J,414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
BBB,2013B,23629,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail
BBB,2013B,25107,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
BBB,2013B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn
BBB,2013B,29144,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
BBB,2013B,31663,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
BBB,2013B,33666,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn
BBB,2013B,34229,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass
BBB,2013B,34353,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail
BBB,2013B,34431,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
BBB,2013B,34694,M,West Midlands Region,A Level or Equivalent,10-20,35-55,1,60,N,Withdrawn
BBB,2013B,34756,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn
BBB,2013B,34863,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
BBB,2013B,35812,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
BBB,2013B,39655,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction
BBB,2013B,50993,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail
BBB,2013B,52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
BBB,2013B,58089,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail
BBB,2013B,62631,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
BBB,2013B,70608,F,South East Region,HE Qualification,70-80%,35-55,0,240,N,Distinction
BBB,2013B,71433,F,North Western Region,A Level or Equivalent,50-60%,0-35,1,150,N,Fail
BBB,2013B,72070,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
BBB,2013B,74695,F,North Region,Lower Than A Level,40-50%,0-35,0,90,N,Distinction
BBB,2013B,74734,F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass
BBB,2013B,75399,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
BBB,2013B,78645,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
BBB,2013B,79378,F,London Region,Lower Than A Level,20-30%,35-55,4,120,Y,Fail
BBB,2013B,82535,F,Wales,Lower Than A Level,20-30%,0-35,0,180,N,Pass
BBB,2013B,82741,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
BBB,2013B,83254,F,London Region,HE Qualification,10-20,35-55,0,60,N,Pass
BBB,2013B,84245,M,Wales,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction
BBB,2013B,84664,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
BBB,2013B,86291,F,Wales,HE Qualification,50-60%,35-55,0,60,N,Withdrawn
BBB,2013B,87604,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
BBB,2013B,87732,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,75,N,Pass
BBB,2013B,88580,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
BBB,2013B,91322,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
BBB,2013B,92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
BBB,2013B,92832,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
BBB,2013B,92947,F,Wales,HE Qualification,10-20,35-55,0,120,N,Distinction
BBB,2013B,92993,F,East Anglian Region,Lower Than A Level,10-20,0-35,3,135,N,Pass
BBB,2013B,94616,F,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail
BBB,2013B,96291,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
BBB,2013B,97154,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
BBB,2013B,98313,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
BBB,2013B,102849,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,180,N,Withdrawn
BBB,2013B,104054,F,South East Region,Lower Than A Level,90-100%,35-55,0,120,N,Distinction
BBB,2013B,108377,F,South Region,Lower Than A Level,30-40%,35-55,0,120,Y,Pass
BBB,2013B,108589,F,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
BBB,2013B,109938,F,Wales,HE Qualification,60-70%,0-35,0,120,N,Distinction
BBB,2013B,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
BBB,2013B,116603,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Distinction
BBB,2013B,117071,M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail
BBB,2013B,120994,F,London Region,Lower Than A Level,30-40%,35-55,0,70,Y,Fail
BBB,2013B,122524,F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,Fail
BBB,2013B,123379,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,180,N,Withdrawn
BBB,2013B,123860,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
BBB,2013B,126322,F,Scotland,A Level or Equivalent,10-20,35-55,1,60,N,Pass
BBB,2013B,126411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Fail
BBB,2013B,127209,F,Scotland,A Level or Equivalent,40-50%,0-35,1,180,Y,Withdrawn
BBB,2013B,128776,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn
BBB,2013B,133155,F,Yorkshire Region,HE Qualification,50-60%,35-55,0,60,N,Pass
BBB,2013B,133531,F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail
BBB,2013B,133748,F,Scotland,Lower Than A Level,0-10%,35-55,0,70,N,Fail
BBB,2013B,141823,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
BBB,2013B,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail
BBB,2013B,143741,F,London Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Distinction
BBB,2013B,143854,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn
